y,z,TBKAN_Ux,TBKAN_Uy,TBKAN_Uz,DNS_Ux,DNS_Uy,DNS_Uz,Error_Ux,Error_Uy,Error_Uz,Mag_Error_TBKAN_vs_DNS,Mag_Error_RANS_vs_DNS
0.0,-0.493883,0.0594317,-1.64225e-06,4.25688e-05,0.05977927802749993,-4.490300000000006e-05,2.8837249999999935e-05,-0.00034757802749993405,4.326075000000006e-05,1.3731550000000063e-05,0.00035052893340879857,0.012056860978314309
0.0249124,-0.493883,0.0595011,-0.000168301,4.23745e-05,0.06012149296254825,-0.000295798845371875,2.8649637647251914e-05,-0.0006203929625482468,0.000127497845371875,1.3724862352748085e-05,0.0006335073009843397,0.01165407857777765
0.0487259,-0.493883,0.0596664,-0.000327135,4.2338e-05,0.060255453469204204,-0.0004469974649059715,2.8689480878810322e-05,-0.0005890534692042024,0.0001198624649059715,1.3648519121189678e-05,0.0006012797037561162,0.011415898663667646
0.0714891,-0.493883,0.0598501,-0.000479204,4.3043e-05,0.060298899956786514,-0.0006306307988837247,2.8451913527970246e-05,-0.00044879995678651086,0.00015142679888372466,1.4591086472029755e-05,0.00047388223899633576,0.01116050982974122
0.0932481,-0.493883,0.059991,-0.000630002,4.47077e-05,0.06011601026665718,-0.0008685704419769108,3.290467087535355e-05,-0.0001250102666571773,0.0002385684419769109,1.180302912464645e-05,0.00026959558559721733,0.010973274533436746
0.114047,-0.493883,0.0600628,-0.000783793,4.67773e-05,0.05992362332236964,-0.001028170445460913,3.612269641101269e-05,0.00013917667763035935,0.0002443774454609131,1.0654603588987307e-05,0.0002814320593391325,0.010897498327260207
0.133929,-0.493883,0.0600697,-0.000940785,4.85758e-05,0.059593117378994476,-0.0013061636865678342,4.4885411720839227e-05,0.000476582621005521,0.00036537868656783424,3.69038827916077e-06,0.0006005382570729185,0.010701111898232052
0.152934,-0.493883,0.0600323,-0.00109778,4.96815e-05,0.05942904389018455,-0.0015525715080131806,4.9291556329028675e-05,0.0006032561098154449,0.00045479150801318053,3.8994367097132707e-07,0.0007554822313242274,0.010386857365840024
0.171101,-0.493883,0.0599799,-0.00124943,4.94973e-05,0.05939903773007845,-0.0017533614693553677,5.0769070119891814e-05,0.0005808622699215518,0.0005039314693553677,-1.2717701198918164e-06,0.000768992535610272,0.010032192097795972
0.188466,-0.493883,0.0599414,-0.00138924,4.77253e-05,0.059558650150427564,-0.0020533364253783907,4.98110912235764e-05,0.0003827498495724349,0.0006640964253783908,-2.0857912235764013e-06,0.0007665023549038232,0.009166875693438938
0.205065,-0.493883,0.059935,-0.00151002,4.4045e-05,0.05976849892096879,-0.002235598133101627,4.830663769789923e-05,0.00016650107903121159,0.0007255781331016271,-4.261637697899225e-06,0.0007444490567592039,0.008514905927186253
0.220932,-0.493883,0.0599578,-0.00160478,3.86883e-05,0.060268837293001545,-0.0024975708940780245,4.2356756831217284e-05,-0.00031103729300154676,0.0008927908940780244,-3.6684568312172838e-06,0.0009454275412541622,0.00723336087913544
0.236099,-0.493883,0.0599824,-0.00167092,3.2583e-05,0.060707206166814916,-0.0026663686466572244,3.68505910194174e-05,-0.0007248061668149175,0.0009954486466572244,-4.2675910194173985e-06,0.0012313732983615256,0.0061541004905864664
0.250598,-0.493883,0.0599665,-0.00171006,2.6063e-05,0.06106329220182251,-0.0027839818457892802,3.299442963184986e-05,-0.0010967922018225093,0.0010739218457892802,-6.93142963184986e-06,0.0015350274621513662,0.005338343691141616
0.264456,-0.493883,0.0598668,-0.00172384,1.9478e-05,0.061473540395766725,-0.0028892071763766294,2.6788849544381246e-05,-0.0016067403957667273,0.0011653671763766295,-7.310849544381247e-06,0.0019848800476819045,0.004343389499079262
0.277704,-0.493883,0.0596471,-0.00171451,1.328e-05,0.061955574451864066,-0.002977201054389229,1.420754411424157e-05,-0.002308474451864065,0.0012626910543892288,-9.275441142415693e-07,0.002631243784616272,0.0033568597509243134
0.290367,-0.493883,0.0592804,-0.00168762,8.00675e-06,0.06214706244014203,-0.003007229110022606,9.19165788113696e-06,-0.002866662440142033,0.0013196091100226063,-1.1849078811369605e-06,0.003155807844749489,0.00306638359955757
